,text
620,(The human tragedy of Mexico's 1985 earthquake Video) #latest #news #followback - https://t.co/gqG0Zm1gDK https://t.co/yt3pY6cwSA
621,RT @leeunkrich: MEXICO EARTHQUAKE RELIEF: @topos PayPal donations: donativos@brigada-rescate-topos.org topos.mx https://t.co/YwXCLb69i3
622,RT @geogabout: Death toll rises to 226 as powerful earthquake topples buildings in Mexico https://t.co/JM00zkKOpr https://t.co/SCTl4qv8Wh
623,Prayers for the millions people affected by the powerful earthquake in Mexico. á½‰Aá¼Ÿ2á¼ŸDâ¤ï¸ #MexicoFuerte #MexicoCity https://t.co/oMvAvXiF1e
624,Mexico earthquake: Praise for those who raced to help others https://t.co/YzNx5JmTSR https://t.co/h0vYeSEyN0
625,.@LatinGRAMMYs suspend nominees announcement following Mexico earthquake https://t.co/Kix5M31n79 #LatinGRAMMY https://t.co/X63yaewRgI
626,RT @BIUK: This drone footage shows the devastation caused by the 7.1 magnitude earthquake in Mexico. https://t.co/zI9IbOXFPE
627,@DUALIPA #sismo earthquake in mexico https://t.co/uG4QOSmzOT
628,New Zealand shaken by large tremors just hours after Mexico City earthquake #D20 https://t.co/tEQitV3xAk https://t.co/3NaU8n1IIM
629,RT @realDailyWire: WATCH: Multiple Buildings Collapse During Earthquake In Mexico City https://t.co/f0okN3sYpG https://t.co/CtCptwerXN
630,RT @dwnews: Mexico earthquake update: More than 200 dead as numerous buildings collapse https://t.co/XbYxuaWGSS https://t.co/jB3rWk3fM9
631,RT @CNN: Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx
635,"RT @theAGU: USGS ShakeMap of the M 7.1 earthquake 5km ENE of Raboso, Mexico. https://t.co/QjyEK2dWLk https://t.co/K0mxnyseMK"
636,The Brief: An earthquake in Mexico has killed more than 200Â people https://t.co/vIdgMlszzD https://t.co/Z028k6cKUg
637,Deadly earthquake hits Mexico City My Deep condolences with the people of MEXICO. https://t.co/5ov8KKE4y4
638,Removing the jungle gym from elementary school where at least 22 students died in Mexico earthquake https://t.co/q4WTMFoQyk
639,Mexico: Dona a las victimas del Terremoto. Donate to the victims of theÂ Earthquake. https://t.co/SXfNngKE87 https://t.co/C3wdAzyt8S
640,"RT @MSN: Horror, desperation follow earthquake in Mexico City https://t.co/VeXCcfeIeZ https://t.co/6UNK0zdSCF"
641,RT @ajplus: Mexico City sees major damages to buildings after a magnitude 7.1 earthquake. https://t.co/vLUXg96KNw
644,Terrifying visuals of #Mexico #earthquake stun the world | https://t.co/id4P48vVud https://t.co/TXQRZZimOS
645,21 kids among dead found in school after Mexico earthquake https://t.co/7mnv1THMbL https://t.co/HCITSEtjAa
646,Mexico earthquake building collapse: Rescue caught on video as children pulled from rubbleâ€¦ https://t.co/stlQsHAg7j https://t.co/GLBh0BZLaW
647,"Nissan evacuates Mexico City HQ, Cuernavaca plant after earthquake https://t.co/EjuenXBp9H #storystream #auto https://t.co/5QgBUPB67K"
648,"RT @thedailybeast: Amid the rubble of Mexico's huge earthquake, there are many helping hands https://t.co/fB57xVPjW7 https://t.co/i7IAJ4sbaZ"
649,"In a collapsed Mexico school, a community digs for signs of life https://t.co/KRoFY8uFL3 #SocialMedia https://t.co/mvQiyZr2IR"
650,Mexico Combs The Rubble For Survivors After Earthquake Kills At Least 225 https://t.co/KudZhXORZu #SocialMedia https://t.co/Gtn7NAV2tk
651,Trump sent his condolences at Mexico after the earthquake https://t.co/1P6R84UMyN
652,Mexico reels following devastating earthquake https://t.co/62tXU8opb4 https://t.co/TVEAOzpR23
653,RT @ClevverTV: Fans fear for Shawn Mendes' safety after deadly #MexicoCityearthquake https://t.co/w2TuxjnOI0 https://t.co/YKxOk7XaAu
654,RT @mashable: Here's how to help Mexico after another deadly earthquake https://t.co/O0KYwEaBKw https://t.co/O56otvYCIQ
655,RT @rmota: Stay Strong #puertorico and #mexico #HurricaneMaria #earthquake https://t.co/6SkQs6wIWS
656,Hundreds Dead in Mexico After Earthquake Strikes on Anniversary of Devastating 1985 Quake https://t.co/cG0uV61L8t https://t.co/SyF7wQL0Ak
657,RT @Slate: There was another earthquake in Mexico yesterday. Is the world ending? https://t.co/HNIs3ev00L https://t.co/tLIxtEh12u
658,"Sad day for Mexico City. Our home was hitting by an aggressive Earthquake, again on September 19th. https://t.co/pBrVZgpfl3"
659,Emergency relief for #Mexico as second #earthquake hits. @save_children https://t.co/lVMCd3dD40 https://t.co/Z5esRsMeMW
660,RT @thecrow1one: God bless to Mexico and all your lost lifes after the terrible earthquake...á½¤Fá¼žEá¼Ÿ9â¤ https://t.co/iyE8bltXtW
661,Rescue Work Continues After Tuesday's Mexico City Earthquake https://t.co/A0vwXrYHdx https://t.co/Ij5aOmWZkt
662,RT @JinesHatesYou: Juice=Juice sending love to Mexico after big earthquake. â¤#JJ_worldtour #Mexico #FuerzaMexico https://t.co/Rbc2gZZp1S
666,"VW, Audi, Nissan production hit by Mexico earthquake https://t.co/g1uvEHGCjj https://t.co/r0Q08LspVR"
667,RT @IAFsite: The IAF &amp; Home Front Command #aid mission to earthquake-stricken #Mexico has taken off from Nevatim AFB https://t.co/2UnLELPsXx
668,Highly effective earthquake devastates central Mexico - https://t.co/damR2GDdB3 https://t.co/SC7wVnl4oX
669,Mexico...... I'm sad... I think of wenchuan earthquake in Chinaá½¢3á½¢3 https://t.co/HWXQGqjX9g
670,About to go live on @whiotv at Noon with some local connections &amp; perspective on the earthquake in Mexico. https://t.co/3W2OvVnTND
671,Photos out of Mexico City show the damage from magnitude-7.1 earthquake https://t.co/s2S5RSedrx https://t.co/O6Ave9qh7Z
672,"Death toll rises to at least 217 people, including school children found dead under rubbleâ€¦ https://t.co/gkDgQlOVs4 https://t.co/wAEg4bRhBZ"
673,RT @RSGovUK: Our deepest condolences to #Mexico earthquake victims &amp; their loved ones. Stay strong! https://t.co/UXN9htwwsy
674,So sad to hear about the earthquake in Mexico City. My thoughts go out to everyone there á½‰Cá½‰C #mexicocity https://t.co/GBDrnocM7r
675,Earthquake death toll climbs to 225 in Mexico as frantic search continues for survivors https://t.co/ZlzcR5GAhM https://t.co/Kt2juFTNy7
676,At least 226 killed in #Mexico's new earthquake https://t.co/4rzIozocIS #NRTnews https://t.co/Acgcalnr3K
677,Mexico City earthquake: Cristiano Ronaldo and top clubs lead tributes to victims of disaster https://t.co/U8cDRehJGH https://t.co/bTXG3SfpwQ
678,"Mexico earthquake: Death toll soars, 30 pupils missing https://t.co/srWnjWhrtO https://t.co/MABRRXLeOw"
679,Live Updates: 225 People Killed As Powerful 7.1 Magnitude Earthquake Strikes Mexico https://t.co/n6Jdv5mDID https://t.co/17tA3V4uUD
680,"RT @crodriguezap: Soldiers are removing debris in Jojutla, Mexico after the earthquake @AP_News https://t.co/rPQ3MBqNdr"
681,Watch the Emotional Rescue of a Dog Trapped in Rubble After Earthquake in Mexico City... https://t.co/kvxRFXrEX7 https://t.co/RnaG3aMSnO
682,Mexico Earthquake Kills 250 People Powerful Temblor Collapses Buildings 21 School Children Crushed Under School |... https://t.co/uxSOqmCUQE
683,Pau Gasol shares his support for victims of Mexico City earthquake https://t.co/UBGMf4X1uN #GoSpursGo https://t.co/taHvdK5Wa4
684,Breaking: Death Toll Rises To Over 200 https://t.co/ktiMqWEL5A https://t.co/QlYqn5bS1S
685,RT @citizentvkenya: Huge Earthquake Rocks Mexico City https://t.co/d01JibC1WG https://t.co/hai7fQBVF9
686,"RT @CityLab: Mexico City's earthquake, through residents' eyes https://t.co/tu4Jtk8goL #CDMX https://t.co/Ge5100NQz5"
687,RT @examrevision4u: Useful PowerPoint slide for the #Earthquake in #Mexico #Geography #Geo #JC #LC https://t.co/GvppN4HkAJ
688,"Eva Longoria, Fifth Harmony and More Celebs React to Devastating MexicoÂ Earthquake https://t.co/haXA7Ro4nx https://t.co/ndD1EWuEWU"
689,"A powerful 7.1 magnitude earthquake jolted Mexico City, killing more than 200 Jeremy Berke https://t.co/hqMTz6NsDU"
690,Gas explosion fills Mexico City sky with fire following earthquake https://t.co/lSAzEjWYEt https://t.co/5ZQamtqwL4
691,RT @podobensky: á½ª8á½ª8Central Mexico 7.1 Earthquake 30 minutes agoá½ª8á½ª8 https://t.co/0p9x7ZHMMU
692,21 children crushed beneath a school in Mexicoâ€™s powerful 7.1-magnitudeÂ earthquake https://t.co/m4ODsTtXOv https://t.co/ea9hD9olCR
693,Dramatic video shows moment of gas explosion after earthquake in Mexico: https://t.co/GhnxRxDp7P https://t.co/bWQQFZmeFZ
694,@SkyNews O my people REPENT before it is too late #Mexico #earthquake #newzealand #hurricane #Maria https://t.co/3Bx24ezdEz
695,"RT MyMusicGrind ""Mexico City Earthquake: BeyoncÃ©, Nicki Minaj &amp; More Share Prayers https://t.co/t7K3VSV6Oc https://t.co/GyHdvrmZhB"""
696,How to help Mexico recover from its devastating earthquake from wherever you are https://t.co/I1KLycokky https://t.co/rZTUrRpf4p
697,Our thoughts are with all those affected by yesterday's powerful #earthquake in #Mexico. https://t.co/V4OFjN2ooR https://t.co/8JH7mWeVgR
698,Rescuers search collapsed school after Mexico earthquake https://t.co/dQQZICE1GC https://t.co/afmfyIaRhb
700,Mexico earthquake as it struck https://t.co/VzPRgYI7dj https://t.co/9assqvKzwG
701,RT @sarahofff: For any of you who want to help with earthquake relief in Mexico City: https://t.co/y3U1BDv35a
704,Missing school children in Mexico City amid the ruins of the hugeÂ earthquake https://t.co/AAYTC91kds https://t.co/i3AR8ZEOAW
705,RT @AJEnglish: RT @AJENews: Powerful 7.1 magnitude earthquake hits southern Mexico https://t.co/sBOGfWxRGI https://t.co/yUdss1RcLM
706,Here's how you can help after the terrible earthquake that took place in Mexico. #FuerzaMÃ©xico á¼Ÿ2á¼ŸD @topos https://t.co/g3AFdTCjYB
708,RT @CP24: Trudeau says Canada ready to help after 'devastating' earthquake in Mexico https://t.co/jZNOCwdZe9 https://t.co/fcupuY6gRn
709,RT @rafafc91: Improvised clinics are being set up in Mexico City parks to aid earthquake victims. https://t.co/ckfv5WRatr
710,Ronaldo &amp; Chicharito lead messages of support to Mexico earthquake victims https://t.co/hJJNBonLdq https://t.co/kWT9V62Q9B
711,RT @BarcaSpiral: Our thoughts are with Mexico after that devastating earthquake last night. https://t.co/FSdzzWoZ0A
712,RT @business: Photos of Mexico City after the nation's second major earthquake this month https://t.co/pJdMZkKGZE https://t.co/p3Zm0QWAa4
715,Devastating earthquake rocks Mexico again! My prayers for the families and friends. Let https://t.co/Dwph182Gcf https://t.co/PAhpbreA2E
716,(Automakers survey earthquake damage in Mexico) - Xania News - https://t.co/KKzlKC2xao #XaniaNews https://t.co/y5m4WoxPaQ
717,Mexico City earthquake: International Paralympic Committee postponesÂ events https://t.co/nYSr0TUhZW https://t.co/DWvSMbLcgO
718,Mexico City Sport Director Says No Major Damage to Estadio Azteca in Earthquake - Bleacher Report https://t.co/kKYE3WpozU
719,RT @The_Tablet: Pope prays for victims of #Mexico earthquake https://t.co/K3jYgInWmT https://t.co/apfNVvsriO
720,"A tweet from: POTUS, via: Twitter for iPhone https://t.co/UvjZ4MptIH https://t.co/CWx8yrt6sw"
721,Great News Reporting About Mexico City Earthquake Magdalena! @MagdalenaDoris https://t.co/CDFlnFXlM8
722,New activation [#EMSR244]: Earthquake in Central Mexico https://t.co/3lcYxNNh4f #Copernicus #Earthquake #EUCivPro https://t.co/7VjkOPOda0
723,"Mexico Earthquake Update: 55 Killed, More Deaths Expected https://t.co/WHD3qWUaxQ https://t.co/vFGDMLg6gM"
724,@paolaturbay NEW EARTHQUAKE IN MEXICO YESTERDAY ALLOW AT LEAST 200 DEADS. https://t.co/NN9IVxsYCV
725,"Mexico Earthquake Claims at Least 248 Lives, Many Still Missing https://t.co/8TvKJCLYpM https://t.co/HDErvmUzto"
726,"Info in japanese, how to help in the earthquake in Mexico; https://t.co/Yq2xFqFcBu"
728,7.1 Magnitude Terremoto Earthquake Mexico 19/09/2017 https://t.co/AdDpfTsOaP https://t.co/Qr6swAcLrx
729,âš ï¸ EARTHQUAKE IN MEXICO á¼Ÿ2á¼ŸD PLEASE RT TO HELP âš ï¸ @topos #FuerzaMexico https://t.co/62XJtcpez8
731,#hurricanemaria #Earthquake in #Mexico. My heart is heavy. Sending hugs https://t.co/qQM4eFRpv4
732,#News #India #Kerala #Malayalam #Hindi https://t.co/TGAdXTXAjj Earthquake kills dozens in central Mexico https://t.co/4GCaVsGQPx
733,"RT @tostvnetwork: Earthquake kills hundreds in Mexico, sends buildings crashing https://t.co/XZgwfgkp7b https://t.co/u8Yjx7eTAs"
734,See What the Earthquake Destruction in Mexico City Looks Like https://t.co/97NKa8J21C https://t.co/pygtdkb6WO
735,RT @Grace_PaCo: @PhillyD Earthquake in Mexico and how you can donate through PayPal to Los Topos. This is the email: https://t.co/AmnBV3nzz1
736,Amazing show of teamwork and unity during Mexicoâ€™s earthquake rescue efforts. https://t.co/ZQCl0xISaK
737,Earthquake kills dozens in central Mexico https://t.co/5CyVg0RrTc #noticias #VÃ­deo https://t.co/cGJvWPrJEB
738,"RT @AdiAlsaid: Fuck. Another big earthquake in Mexico City. Still okay, but damage on my street. https://t.co/GdNWjoNf0i"
739,IBTimes: WATCH: Mexico City earthquake damage was captured in a drone video https://t.co/g4fn8GNLvi https://t.co/xWN5wkDeIr
740,RT @tsoupras: We pray for you Mexico! Big earthquake killer!!! https://t.co/9lOCt9Zapb
741,RT @mattdpearce: .@katelinthicum on the scene in Mexico City. https://t.co/QX02Z35MIH https://t.co/YHK9dt7OGv
742,.Central #Mexico #Earthquake #Worksheet #Geography #Junior Cycle #JCGeography https://t.co/QyZHKgSFNj
743,Mexico City Volunteers Venture Out in Force to Aid Quake Victims https://t.co/0zGRChFn6E #SocialMedia https://t.co/SI61HNh0RU
744,"After an earthquake, silence can save lives https://t.co/dkgPxn4NNc #SocialMedia https://t.co/QgEiehgmKR"
745,LIVE VIDEO: Mexico Earthquake Topples Buildings #MexicoCityEarthquake https://t.co/5maKUTw48r â˜Click LINK For Video https://t.co/P9usREJAG4
746,RT @latimes: Watch: Here's what it looked like during and after the Mexico earthquake https://t.co/wb5eCmUSPP https://t.co/hH3mt5vEl4
747,á¼žAá¼ŸAECHO MAP | Â á¼Ÿ2á¼ŸDMexico 7.1 earthquake impact: https://t.co/7uAv8d8Jlf https://t.co/qS64dIKBLk
748,RT @RphNabeel: #MÃ©xicoEstÃ¡DePie Prayers for all injured and deceased in earthquake at Mexico. https://t.co/DpB4UAp9Z9
749,Volunteers form giant human chain to rescue victims trapped after Mexico earthquake https://t.co/7EPxWQyoiL https://t.co/j04B6txPkV
750,"PHOTO OF THE DAY: Soldiers, rescuers and civilians work at a collapsed building after an earthquake in Mexico City https://t.co/I1OGxfLe6v"
751,RT @zesty_raiders: Raiders Release Statement on Central Mexico Earthquake https://t.co/DPkzp2ldyA https://t.co/KSdPD5Vfi8
752,What You Can Do To Help Mexico City Earthquake Victims https://t.co/tBNsI9OYWY https://t.co/wWnyEamkgK
753,RT @MajestyMagazine: A message from the Queen to the President of Mexico following the recent earthquake. https://t.co/7mNCr2Hyob
754,Mexico City earthquake: Pictures of the damage and destruction https://t.co/o4S2uOvLqU https://t.co/youUAhoO9L
755,[WATCH]: Mexico: Moment earthquake struck - BBC News https://t.co/QBkXXnCeLy #Videos via @IBNMoney_com #USA https://t.co/YgUQrLrciY
756,"As ""Maria"" hits Caribbean and Mexico digs out of earthquake, NS posts emergency broadcast test. Only a test. Phew! https://t.co/xMG4mmLAt0"
757,Jan Man: Rescue operation underway in Mexico after devastating earthquake https://t.co/khlszg9IZU #NewsInVidsIndia https://t.co/rAMT5FZLVu
758,Here's how you can help Mexico earthquake victimshttp://for.tn/2xeZ3MM by #FortuneMagazine https://t.co/32GvOBVF7R
759,"People on Twitter, Facebook, and other social-media platforms are posting photos and videos https://t.co/caLQYDQXkZ https://t.co/D7HRNeL2lE"
760,"NFL assessing Mexico City stadium, facilities in earthquakeÂ aftermath https://t.co/rBP4bM2tpY https://t.co/lMkMHFaf3A"
761,Harrowing Videos Show The Moments An Earthquake Struck Mexico https://t.co/AmMVNpj4yX https://t.co/ht25yQp2Y1
762,"RT @channelstv: 21 Schoolchildren, Over 200 Others Killed In Mexico Earthquake. https://t.co/O2vpFzd1My https://t.co/RelIUjVkHf"
763,"RT @eqgr: 7âƒ£1âƒ£ á¼Ÿ2á¼ŸD Earthquake M 7.1, 19/09 13:14, depth: 10 Km, CENTRAL MEXICO #earthquake #gfz https://t.co/poHQHffasE"
764,We've spent many happy weeks in Mexico City filming @sense8 - here's how you can help the earthquake victims. á¼Ÿ2á¼ŸD á½¤F https://t.co/m2INyEUbmr
765,RT @Camnzo: Hey @dog_rates how about Frida? She's a rescue dog that saved 52 lives after Mexico's earthquake https://t.co/y30V3yjDAs
767,@CartiaMallan #askCartia for help!!! Pls RT Mexico is in need after the earthquake https://t.co/2tQu4eYFHH
768,Thinking of those in #Mexico affected by today's #earthquake. https://t.co/nhkfB6Mn0K
769,Photos from the Mexico Earthquake by Unknown Author via NYT https://t.co/z7kpGRCgKc https://t.co/cJMik44nGp
770,Hereâ€™s How to Help the Victims of Mexicoâ€™s 7.1-Magnitude Earthquake https://t.co/NSCAjHMARd https://t.co/5ertBBGPR4
771,RT @splinter_news: Mexico hit by deadliest earthquake in over 3 decades https://t.co/v7P5gREUSy https://t.co/gn1WYudtqA
772,"RT @darthregens: â€¼ï¸â€¼ï¸â€¼ï¸â€¼ï¸â€¼ï¸â€¼ï¸â€¼ï¸ For all of those concerned about the earthquake in Mexico, YOU CAN HELP TOO. https://t.co/l2VkSN8jOu"
773,Terrified OAP dodges death TWICE in a matter of seconds as two panes of glass fall from theâ€¦ https://t.co/xf6s21pqyW https://t.co/XJCCaUAsad
774,"Death toll from MexicoÂ earthquake, volcano eruption hitÂ 216 https://t.co/KqtG86H87Z https://t.co/0ipQd4buA7"
775,"RT @CollinMyers_: Breaking: Large, Mag. 7.1 #Earthquake just struck near Mexico City, around 1:14pm. @abc13houston https://t.co/FLkT9eClqz"
776,What Caused the Mexico Earthquake? Faults Explained @NatGeo #geology #MexicoCityearthquake https://t.co/jJPyr8DCre https://t.co/6aZAJCadm0
779,#F1 Force India driver Sergio Perez donated three million pesos to victims of the earthquake in his native Mexico. https://t.co/v3R2TGded9
780,#news LATA reassures visitors to Mexico following huge earthquake https://t.co/loIAGlBGt2 https://t.co/aVyRU1BIe1
781,No reports of Canadian casualties in Mexico earthquake: Freeland - https://t.co/rombb6OFnd https://t.co/jaw17jLIkx
782,Information for Canadian and U.S. citizens affected by MexicoÂ earthquake https://t.co/TVRtaVbkFS https://t.co/YpL0ZcdWWf
783,I think Event: Earthquake has occurred in Mexico Wed Sep 20 12:17:12 2017 CDT https://t.co/XZckMarScZ
784,Is it safe to visit Mexico? Travel update after deadly earthquake and volcano disaster https://t.co/rPplpTl3dJ https://t.co/SjVx68NCha
785,Here are the ways we can help Mexico's recovery from afar: https://t.co/JFPvFpJKDg | #FuerzaMexico https://t.co/jhncsFD60J
786,Mexico City earthquake â€œdamagesâ€ two-time World Cup final venue and scene of Maradonaâ€™sâ€¦ https://t.co/yIhpVqB7xN https://t.co/bJZwkJwzJR
787,"At Mexican School Hit by Quake, Heartbreak and Moments of Joy https://t.co/Rl7zIYbWIe https://t.co/U7bnHGiKDt"
788,F1 star calls for disaster aid after over 200 killed in Mexico City earthquake https://t.co/yiKwvYKekT https://t.co/kxENdeos5L
789,Mexico City Earthquake aftershock during live TV newscast:https://t.co/aADuGMEfQK https://t.co/Q0AN4T99v0
790,5 Ways You Can Help Mexico After the Deadly Earthquake https://t.co/u40scdC0hr #entrepreneur #business https://t.co/dxbJbFYLjH
791,@NAHJ @Poynter Thoughts on @nytimes pull quote on home page link to Mexico City earthquake? @JinATX @latinoculture https://t.co/Nv65Ds39uj
792,"Statement from Cardinal Daniel DINardo, President of U.S. Bishops Conference, on earthquake that struck Mexico: https://t.co/P24sEP1thB"
793,RT @JusticeOrElse: [Watch The Weather] Powerful Earthquake Strikes Mexico https://t.co/FDCm9FScRD #JusticeOrElse https://t.co/mLm94LLFOj
794,RT @wjxt4: We are with you. #Mexico Earthquake Latest âž¡ï¸https://t.co/Gr5t4icaoF https://t.co/kzI5NgbKfx
795,Volunteers from Mexico City go into effect to assist earthquake victimsÂ #BREAKING112 https://t.co/DSPoGrHmve https://t.co/Z6ylyMkZh2
796,collapsed buildings in Mexico City / earthquake - Edificios colapsados - Terremoto https://t.co/UD0ECaGi2h
797,"Terror, Chaos, and Solidarity as Another Earthquake Shakes Mexico City https://t.co/cQRNq1ZMRk https://t.co/HTEGKk00fF"
798,What Mexico's earthquake means for California https://t.co/x3qTJ9SRil https://t.co/rNUJCN5MCk
799,"Deadly earthquake hits Mexico (VIDEOS, PHOTOS) https://t.co/TUADjA7R3x https://t.co/C5MRCZd0EI"
800,"The world today: Hurricane Maria, Earthquake in Mexico and Trump https://t.co/kgfHuwgi0y"
801,"At least 217 people were killed after a 7.1 earthquake shook Mexico on September 19, 2017. #prayformexico https://t.co/E0oYj5xpo9"
802,RT @KENS5: Many Texans still waiting to hear from family in Mexico following earthquake https://t.co/CqhDBdBP9e https://t.co/gfwB9WDU5R
803,RT @seesterana: Y'all my cousins puppy ran away yesterday during the earthquake in Mexico á½¢Dá½¢Dá½¢Dá½¢D https://t.co/bTzezKCc3A
804,#Video captures baby born moments after Mexico's earthquake Doctors at a hospital in Mo https://t.co/3bcQPz99c4 https://t.co/yXhE0bScS8
805,RT @PDChina: #Update: At least 42 dead in #Mexico M7.1 #earthquake: Governor of Morelos https://t.co/LVqsSYuInH
809,The Dominican president expresses his â€œmost sincere condolencesâ€ to Mexico forâ€¦ https://t.co/aLBO39GQx2 https://t.co/Th9HraWzu5
810,"As Mexico Struggles with Earthquake Relief, Authorities Urge Volunteers to Lend a Hand https://t.co/oHMbPoWBY5 https://t.co/4LqyEi0x7I"
811,Please help.....Westie found after Mexico's Earthquake ! :( https://t.co/20QITsB3X6
812,Crowds cheer as dog is pulled out of Mexico earthquake rubble - https://t.co/2dXEcqRki5 https://t.co/sKGGQvP89j
813,RT @AntonioDrumsX: Dear international friends. Here's a way to aid Mexico after the earthquake. Please Retweet! https://t.co/YrAwGOfx8D
814,Powerful earthquake shook central mexico on Tuesday killing 217 . #MexicoCity #RIP https://t.co/jIRpHavOux
815,Major earthquake shakes Mexico City; 225 dead. #KAGS KAGS: https://t.co/UJ0VPn8UAb https://t.co/DtnEujsQZh
816,RT @dspuhr: Thinking about family and friends in Mexico. Reading NEWSELA to learn about the earthquake #d100chat https://t.co/tbup8YFikg
818,"Our Hearts and Prayers go out to the people of Mexico,as they deal with a horrible Earthquake. @Evo1S https://t.co/r2oUgsJ1LR"
819,Please pray for our neighbors in Mexico who have suffered a massive earthquake. God bless Mexico. https://t.co/9KPpbA4zsw
820,Soft soil may have contributed to destruction from 7.1 Mexico City earthquake https://t.co/tVguqDuBJE https://t.co/eJRJCZqonf
822,RT @NewsChimp_Aww: Marine Dog getting ready for rescue work after Mexico City earthquake https://t.co/aXCR9eaFUU https://t.co/QCALj6JQqi
823,RT @gmapsmania: Mapping seismic activity in Mexico and damaged buildings in Mexico City. https://t.co/8Jh6Oi5KbS https://t.co/ioefzrcdS4
824,RT @WESH: Video shows dog being pulled to safety following earthquake in Mexico https://t.co/uYPguwBw1A https://t.co/bhMNHM8Chr
825,Paralympics Body Postpones World Championship Over MexicoÂ Earthquake https://t.co/z1PV9iQMbV https://t.co/uQqn3qlbYH
826,MASSIVE 7.1 EARTHQUAKE HITS MEXICO CITY - Apocalyptic Scenes as Buildings Fall Apart https://t.co/45Ck5BeK8g https://t.co/PejBdDjRxh
827,"#Earthquake M 4.1 OFF COAST OF CHIAPAS, MEXICO https://t.co/vIEvAamd5K - EMSC https://t.co/xQjN1jRJ1u"
828,CNTraveler: #travel #traveling Mexico Earthquake: What travelers need to know https://t.co/QcmWmXxfGh https://t.co/Rnf7h6aEqH
829,"Mexico â€“ A new, violent earthquake shakes Mexico: Salesians begin to organizeÂ relief https://t.co/Cg9Se4uVkL https://t.co/CZuLdn91wo"
830,Donald Trump tweets he is â€œsaddenedâ€ â€“ but not about the earthquake in Mexico â€“ Komback Blog https://t.co/WXGXGNaMxl https://t.co/cZTPdzUu5G
831,"This is why #Mexico keeps getting hit by earthquakes (MAP, PHOTOS) - https://t.co/qc9Zg7Kpip #Earthquake https://t.co/PbTy5O9AjX"
832,RT @TimesofIsrael: IDF to send 50-person delegation to earthquake-hit Mexico https://t.co/Bl0D7gtw2Y https://t.co/Kqbgd3hscP
833,Once again service dogs are a vital part of the rescue efforts for earthquake victims in Mexico. https://t.co/EbYAPx2vbn
834,While you were sleeping Mexico earthquake death toll continues to climb #D20 https://t.co/JMcmUjvQN9 https://t.co/Vb2Gt5GPYU
835,Unbelievable @realDonaldTrump has not said anything about Mexico Earthquake. What Neighbor. https://t.co/TcvmQWDdl5
836,"The Mexico City earthquake, 30 years on: have its lessons been forgotten? https://t.co/002Jpkg5QX á½¤F https://t.co/9CHNn70HEc"
837,Mexico's earthquake is a sobering and graphic reminder of what's in store for L.A. someday https://t.co/1Fob8nd5nd https://t.co/io9kTM65er
839,Mexico earthquake death toll surpasses 200 via FOX NEWS https://t.co/JuMxzgvVfF https://t.co/j9oT7ITX1A
840,RT @ClintFalin: Frieda is a pup hero that rescued 12 people from the last earthquake in Mexico. https://t.co/5pcQr8jCcv
841,#Mexico #Earthquake: #Rescuers #Desperately #Searching for s... - https://t.co/V6DO2ZPnNk - #Topstories https://t.co/nNuZZCTvtR
842,a devastating magnitude 7.1 earthquake in Mexico *certainly* won't stop Twitter from being Twitter https://t.co/gQI2CT4Z4L
843,RT @thefader: BeyoncÃ© leads prayers for Mexico City following earthquake. https://t.co/BYsAAYfyUK https://t.co/xSLUNbJq2W
844,Trending Tuesday 9/19: Mexico City Endures 7.1 Earthquake.Â https://t.co/pOrPh5Giog https://t.co/kuNq2muhif
845,"Here's a guide to Mexico earthquake relief, including a list of organizations: https://t.co/dwWOTJapx3 https://t.co/i0RthSlgiA"
846,Rescue efforts underway after second deadly Mexico earthquake https://t.co/C9y2aHyGh0 https://t.co/22EbR3bEh7
847,Amazing dogs help rescuers in Mexico https://t.co/5nIwbqFwxW #earthquake https://t.co/PnGigcpyYN
848,"Mexico Earthquake Kills at Least 225, Officials Announce https://t.co/OeZgCsyO4C https://t.co/Mo1WFpWrCr"
849,Please Support apolonio perez MEXICO CITY EARTHQUAKE Donate Here - https://t.co/4QmWKoVGLu https://t.co/2u3TvHabbW
850,At least 217 dead after powerful earthquake hits central Mexico - https://t.co/E53Quc2lz2 https://t.co/HPyXWz29dX
851,Regions affected by the 7.1 earthquake near Puebla and Mexico City. (USGS) https://t.co/lncusAvOU0
852,RT @NUNTIO_NEWS: Japan Earthquake: 5.3 quake hits shortly after Mexico disaster #JapanEarthQuake https://t.co/MBfmtfLj1a
853,Donations open for earthquake victims in Mexico https://t.co/ZuxcOLId2D #Kuwait #q8 https://t.co/gfjQumRs0e
854,"#Child found alive in #Mexico's earthquake rubble: https://t.co/G7RolEMJHi, https://t.co/LbUeREXE8n https://t.co/fr9FriZbC7"
855,"Mexico City earthquake likely killed 1,000, USGS says https://t.co/IU4g9ro9pP via @nypost https://t.co/bYMhLNidrw"
856,RT @SkyNewsAust: Hundreds dead in Mexico earthquake https://t.co/RiZkxot02D https://t.co/ra2ajVO8Ys
857,@Linkara19 Can I get a RT for Mexico's Earthquake please https://t.co/3UJhU65lpt
858,Mexico earthquake: The gripping reason why rescuers raise their fists https://t.co/ySPSnyMJ4L https://t.co/bC8Gu5l4y5
